,pred_type,ID,ds,numbox,weight,bulk
311,zhongzhuang,50,2015-11-16,1272,6083.5,46.496497
312,zhongzhuang,50,2015-11-17,712,5274.5,31.839798
313,zhongzhuang,50,2015-11-18,2354,22029.43,114.186095
314,zhongzhuang,50,2015-11-19,1661,13270.03,86.894594
315,zhongzhuang,50,2015-11-20,4161,32702.002,256.973695
316,zhongzhuang,50,2015-11-21,2195,22117.8,118.199397
317,zhongzhuang,50,2015-11-22,5452,52208.2,245.797792
318,zhongzhuang,50,2015-11-23,4481,41605.3,252.577497
319,zhongzhuang,50,2015-11-24,3119,32811.93,159.370197
320,zhongzhuang,50,2015-11-25,1553,15026.802,115.111499
321,zhongzhuang,50,2015-11-26,4279,37687.97,211.352996
322,zhongzhuang,50,2015-11-27,2806,25390.61,153.463698
323,zhongzhuang,50,2015-11-28,2821,24337.71,161.186697
324,zhongzhuang,50,2015-11-29,5622,49303.02,318.234995
325,zhongzhuang,50,2015-11-30,6301,58209.392,309.103197
326,zhongzhuang,50,2015-12-01,1683,15285.28,112.1781
327,zhongzhuang,50,2015-12-02,3093,20645.457,123.517098
328,zhongzhuang,50,2015-12-03,4676,41033.5,241.570496
329,zhongzhuang,50,2015-12-04,2845,18493.902,151.883597
330,zhongzhuang,50,2015-12-05,4507,37309.5,259.070997
331,zhongzhuang,50,2015-12-06,5238,43465.0,265.324096
332,zhongzhuang,50,2015-12-07,6500,58158.07,330.697397
333,zhongzhuang,50,2015-12-08,4948,45211.19,262.6308
334,zhongzhuang,50,2015-12-09,5319,42635.332,270.386998
335,zhongzhuang,50,2015-12-10,4347,45020.5,266.047297
336,zhongzhuang,50,2015-12-11,4090,37211.3,270.094898
337,zhongzhuang,50,2015-12-12,6237,49604.77,314.477197
338,zhongzhuang,50,2015-12-13,5560,54886.12,386.172698
339,zhongzhuang,50,2015-12-14,5372,46761.757,224.8313
340,zhongzhuang,50,2015-12-15,2926,26009.3,210.0094
341,zhongzhuang,50,2015-12-16,2158,18281.89,149.636696
342,zhongzhuang,50,2015-12-17,4532,35446.622,291.830697
343,zhongzhuang,50,2015-12-18,5354,44783.007,295.856302
344,zhongzhuang,50,2015-12-19,3540,27669.922,153.559896
345,zhongzhuang,50,2015-12-20,5061,44353.76,243.781299
346,zhongzhuang,50,2015-12-21,7360,62052.646,418.663065
347,zhongzhuang,50,2015-12-22,4347,28461.34,182.525098
348,zhongzhuang,50,2015-12-23,5708,56748.838,347.4398
349,zhongzhuang,50,2015-12-24,702,3074.8,36.546499
350,zhongzhuang,50,2015-12-25,758,8504.22,42.1249
351,zhongzhuang,50,2015-12-26,5471,39551.661,242.446998
352,zhongzhuang,50,2015-12-27,4810,47126.5,201.256899
353,zhongzhuang,50,2015-12-28,6895,61610.722,344.150695
354,zhongzhuang,50,2015-12-29,7209,66100.079,270.823998
355,zhongzhuang,50,2015-12-30,4687,36071.262,248.986794
